energy,pretty_formula
-0.85881928,Cs
-9.10133099,As
-9.77315415,Hf
-8.64734519,BaTe
-54.26524496,Hf2S
-110.0939723,Nb4CoSi
-157.39830964,Mo3P
-18.64352006,CrN
-40.41843075,CeAlO3
-51.54211016,U2IrC2
-11.6484996,TlAgTe2
-24.69765879,K(CoSe)2
-15.92284166,RbYbS2
-23.36813322,MnB2
-31.86691013,Ce3AlC
-21.01689239,PuAs
-18.71185342,Ca7Ge
-16.17697513,KYbS2
-27.60469652,GaTe
-40.24794401,BaN2
-31.5030458,Al(CoSi)2
-13.3378267,MnSe
-143.05039194,TaO3
-83.17915419,Sc2ZnS4
-84.79816493,Y2ZnS4
-75.46518537,Sc2ZnSe4
-48.96630044,Zn(InSe2)2
-78.52165847,Mg(ScSe2)2
-77.48680788,Y2ZnSe4
-50.70502953,Cu2PPd2
-39.27677717,BeC2
-88.56115473,Y2MgS4
-52.02504684,Mg(InSe2)2
-35.10129239,CoCu2SnSe4
-545.6490227,Li48P16S61
-72.60711,Li(CN)2
-75.80635243,H2CO3
-69.47004698,Si(CO)2
-526.35185767,Na2H3CO6
-19.79497449,Si
-44.61733555,Mn3N2
-32.82011149,MnFe2Si
-15.76106297,CsYbS2
-8.46440136,SnS
-23.26096602,TaS2
-17.32051984,SiOs
-31.87366224,CaFeO3
-57.31151308,LiC6
-671.54655508,C4O3
-92.60418937,HfB12
-90.36387414,B12W
-30.12783878,LuNiC2
-21.06654193,LuTlS2
-10.23315265,PrBi
-32.58430048,LuFeC2
-19.29969851,LuTlSe2
-23.083601,LuSi
-17.54170555,LuGa
-31.52831798,LuCoC2
-22.87466851,LiZrSe2
-21.28200469,TaSe2
-22.36960367,LuCuS2
-17.03530862,LiSnS2
-23.71014312,LiTiS2
-16.2213421,MoP
-23.5997598,LiScS2
-24.50898442,LiRh3
-48.74136733,ZrB6
-17.00172503,IrC
-19.22215241,LiO3
-37.96443395,KCoCl3
-4.09461871,Ac
-15.20630177,IrC
-10.64638385,LiBe
